OBJECTID *,Field1,CountryNum,StateNum,Route,RouteName,Active,Latitude,Longitude,Stratum,BCR,RouteTypeID,RouteTypeDetailID,RouteID,Shape *
241,1162,840,17,218,WET MTNS.,1,38.367404,-105.229073,62,16,1,1,17218,Point
242,1165,840,17,221,NEEGRANDE,1,38.295869,-102.738117,36,18,1,1,17221,Point
243,1166,840,17,222,GROUNDHOG RS,1,37.780186,-108.088845,62,16,1,1,17222,Point
244,1167,840,17,223,PIEDRA,1,37.232938,-107.183624,62,16,1,1,17223,Point
245,1168,840,17,224,FOX CREEK,1,37.059354,-106.191575,62,16,1,1,17224,Point
246,1169,840,17,225,MOSCA,1,37.690973,-105.927905,87,16,1,1,17225,Point
247,1173,840,17,253,Lake City 2,1,37.940923,-107.15889,62,16,1,1,17253,Point
248,1174,840,17,301,DINOSAUR,1,40.277766,-108.559632,84,16,1,1,17301,Point
249,1175,840,17,302,LAY,1,40.668104,-107.861603,86,10,1,1,17302,Point
250,1176,840,17,303,STEAMBOAT L.,1,40.674608,-106.933185,62,16,1,1,17303,Point
251,1177,840,17,304,COMANCHE PK,1,40.569225,-105.428445,62,16,1,1,17304,Point
252,1178,840,17,305,NUNN,1,40.862701,-104.639007,36,18,1,1,17305,Point
253,1179,840,17,306,FORT MORGAN,1,40.34927,-103.799767,36,18,1,1,17306,Point
254,1180,840,17,307,JULESBURG,1,40.967912,-102.325789,36,18,1,1,17307,Point
255,1181,840,17,308,BAXTER PASS,1,39.443328,-108.954895,84,16,1,1,17308,Point
256,1182,840,17,309,RAGGED MTN.,1,39.079967,-107.367834,62,16,1,1,17309,Point
257,1183,840,17,310,WESTON PASS,0,39.152961,-106.408715,62,16,1,1,17310,Point
258,1184,840,17,311,COMO,1,39.410681,-105.96872,62,16,1,1,17311,Point
259,1185,840,17,312,BENNETT,1,39.723854,-104.377353,36,18,1,1,17312,Point
260,1186,840,17,313,FLAGLER,1,39.56753,-103.023742,36,18,1,1,17313,Point
261,1187,840,17,314,BURLINGTON,1,39.171864,-102.110558,36,18,1,1,17314,Point
262,1188,840,17,315,BASIN,1,38.068777,-108.460831,87,16,1,1,17315,Point
263,1189,840,17,316,POWDERHORN,1,38.464805,-107.26329,62,16,1,1,17316,Point
264,1190,840,17,317,MARSHALL PAS,1,38.448058,-106.106965,62,16,1,1,17317,Point
265,1191,840,17,318,GRIBBLES PRK,1,38.644133,-105.779465,62,16,1,1,17318,Point
266,1192,840,17,319,ELLICOTT,1,38.549577,-104.458873,36,18,1,1,17319,Point
267,1193,840,17,320,KARVAL,1,38.762411,-103.348915,36,18,1,1,17320,Point
268,1194,840,17,321,SHERIDAN LAK,1,38.24607,-102.210762,36,18,1,1,17321,Point
269,1195,840,17,322,MCPHEE RES.,1,37.839953,-108.761077,84,16,1,1,17322,Point
270,1196,840,17,323,ANIMAS,0,37.237083,-107.870132,84,16,1,1,17323,Point
271,1197,840,17,324,SOUTH FORK,1,37.649005,-106.653317,62,16,1,1,17324,Point
272,1198,840,17,325,ANTONITO,0,37.098706,-105.520851,87,16,1,1,17325,Point
273,1202,840,17,351,ANGORA,1,40.204444,-108.753982,84,16,1,1,17351,Point
274,1203,840,17,352,YELLOWJACKET PASS,1,40.052265,-107.873617,84,16,1,1,17352,Point
275,1204,840,17,353,STILLWATER PASS,0,40.312609,-105.978723,62,16,1,1,17353,Point
276,1205,840,17,354,GOLD HILL,0,40.020591,-105.296167,62,16,1,1,17354,Point
277,1206,840,17,358,PICEANCE BASIN,0,39.822869,-108.165154,84,16,1,1,17358,Point
278,1207,840,17,359,RIFLE FALLS,1,39.757834,-107.692269,84,16,1,1,17359,Point
279,1208,840,17,360,RADIUM,0,39.953968,-106.55835,62,16,1,1,17360,Point
280,1209,840,17,361,ROLLINS PASS,1,39.823519,-105.523808,62,16,1,1,17361,Point
281,1210,840,17,362,ELBERT,1,38.999964,-104.738045,87,18,1,1,17362,Point
282,1211,840,17,365,NUCLA,1,38.270086,-108.53668,62,16,1,1,17365,Point
283,1212,840,17,366,OWL CREEK PASS,1,38.173837,-107.741691,62,16,1,1,17366,Point
284,1213,840,17,367,COCHETOPA PASS,1,38.05402,-106.864556,62,16,1,1,17367,Point
285,1214,840,17,368,WESTCLIFFE,1,38.150223,-105.513756,62,16,1,1,17368,Point
286,1215,840,17,372,HAYCAMP MESA,1,37.443248,-108.474358,62,16,1,1,17372,Point
287,1216,840,17,373,LIZARD HEAD PASS,1,37.942701,-107.822396,62,16,1,1,17373,Point
288,1217,840,17,374,MOON PASS,1,37.839218,-106.256082,62,16,1,1,17374,Point
289,1218,840,17,375,GARDNER,1,37.941094,-105.232388,84,16,1,1,17375,Point
290,1220,840,17,377,BLACK SULPHUR CR,1,39.871749,-108.284991,84,16,1,1,17377,Point
291,1221,840,17,378,HEENEY,1,39.845893,-106.23612,62,16,1,1,17378,Point
292,1222,840,17,410,WESTON PASS 2,1,39.130554,-106.178893,62,16,1,1,17410,Point
293,1223,840,17,412,PROSPECT VALLEY 2,1,39.984865,-104.508669,36,18,1,1,17412,Point
294,1225,840,17,422,Cortez 2,1,37.516654,-108.46451,84,16,1,1,17422,Point
295,1226,840,17,423,ANIMAS 2,1,37.231433,-107.869555,84,16,1,1,17423,Point
