"","RTENAME","RouteID","evd400m","evd1km","evd4km","evd5km","evd8km","evd20km","lvd400m","lvd1km","lvd4km","lvd5km","lvd8km","lvd20km","pwt400m","pwt1km","pwt4km","pwt5km","pwt8km","pwt20km","pwm400m","pwm1km","pwm4km","pwm5km","pwm8km","pwm20km"
"61","LUMBERYARD",14095,109.638722794164,111.468281791635,114.043776964087,114.942939580272,115.354760861683,117.493156091075,109.364827572052,109.110672074131,111.984095740443,112.499283168262,112.883074453071,114.061657412915,5626.39546006107,5615.46448722629,5553.31469929532,5594.55046468853,5508.47211306,5431.30748207456,1125.27909201221,1123.09289744526,1110.66293985906,1118.91009293771,1101.694422612,1086.26149641491
"62","BODIE",14096,110.196293257877,111.245278009634,112.865393407653,114.123320317722,115.485425002945,119.001921346872,105.448824751634,104.97198210577,105.071977118941,106.64199145309,108.641712233585,110.986116749479,1221.57474073362,1162.54166839957,1236.27322763639,1236.88306346562,1321.51628461025,1417.21778221225,244.314948146725,232.508333679914,247.254645527278,247.376612693124,264.303256922051,283.443556442449
"63","SAWMILL MTN",14103,113.265311071589,112.850582011594,111.757332611459,112.880273111624,116.493474981526,117.121265035315,129.242511917174,132.34790217117,130.254802039613,132.033892655413,136.507360591151,147.9207188362,2397.48070758856,2342.83294417112,2321.28553054089,2271.06973994211,2079.79269829806,1821.38786117191,479.496141517712,468.566588834224,464.257106108178,454.213947988421,415.958539659612,364.277572234381
"64","TUJUNGA",14104,111.43222953664,112.405610768768,112.747666508402,113.13243509557,116.022133813877,119.416540610091,108.910203984581,109.859770496149,112.060279635785,112.80539968925,118.26061968901,121.61416257051,2513.37217064374,2356.74526194544,2499.47951868303,2526.57028108336,2427.22848712912,2307.33875703424,502.674434128749,471.349052389089,499.895903736606,505.314056216672,485.445697425823,461.467751406847
"65","GREENHORN MT",14110,111.126528660385,112.134531309208,113.027165691641,113.769812771781,115.971691142946,115.48745727247,114.09212546342,117.792847946155,124.869866230753,125.799985327753,127.175472173799,135.83725747563,2470.19897971913,2620.89760707616,2330.42488512455,2351.69462632047,2213.34394501283,2005.09087950015,494.039795943826,524.179521415233,466.08497702491,470.338925264094,442.668789002566,401.018175900031
"66","VALERMO",14111,153.987490029078,154.097831013334,149.060370260415,145.280836478119,133.586057215717,126.189624192417,110.4171773387,110.36866756216,111.189118872016,111.710539743336,112.460505192252,117.320349872154,2600.71367409994,2595.33951680065,2634.18174391845,2565.73937263784,2457.05525780524,2284.75211790216,520.142734819988,519.06790336013,526.836348783691,513.147874527567,491.411051561048,456.950423580433
"67","PEARBLOSSOM",14112,127.237526523804,124.538393894459,128.207205804224,131.057709311107,133.947469368352,131.393398648423,164.9116656542,171.511716662726,155.395831105313,152.109284599051,149.260332993929,139.279486619566,915.476799111203,894.003760900838,968.721282213763,969.369902497167,1107.7365741674,1457.60151915929,183.095359822241,178.800752180168,193.744256442753,193.873980499433,221.54731483348,291.520303831858
"68","SISQUOC",14114,115.029076136818,116.18555730913,118.536305537387,119.203273132528,119.943697726113,121.898548592492,189.341494986316,190.887643212257,182.588897176445,182.386995191283,174.436104902392,164.973692936036,2136.35520824786,2057.49997523302,2057.79539183856,2065.86647583499,2078.66541820413,2059.34641756806,427.271041649572,411.499995046604,411.559078367713,413.173295166998,415.733083640825,411.869283513613
"69","LONE PINE",14116,115.650152959591,115.193327063651,114.320305887569,114.376714658566,114.50786845573,115.285418415401,111.913860268201,111.861855230734,113.545943283036,113.665240471743,113.852295627198,113.404722324645,615.375198472089,588.914739057582,642.404687087189,666.407226768844,746.609072738879,802.638612574918,123.075039694418,117.782947811516,128.480937417438,133.281445353769,149.321814547776,160.527722514984
"70","LOCKWOOD VAL",14118,116.600685047767,113.32110251366,119.618083733442,119.336485340323,119.56067520926,119.275588476424,109.426123308889,109.4595942809,109.506657843462,109.78786363433,109.785488263709,109.313063624112,1922.66792023517,1931.77035726742,1904.20101535329,1936.26491598906,2006.99562234873,2253.13422043672,384.533584047033,386.354071453484,380.840203070658,387.252983197812,401.399124469747,450.626844087344
